¬	mgbagha
|	ahịrị kwụ ọtọ
~	tilde
≥	karịrị ma-ọbụ nha
😀	ihu, ihu ọchị, ọchị
😃	Ihu Amụ Nwere Ọnụ Ghe oghe, amụ, ihu, mmepe, ọnụ
😄	amụ, anya, ihu, ihu amụ nwere mmepe ọnụ & anya amụ, mmepe, ọnụ
😁	amụ, anya, ihu, ihu ọchị nwere anya amụ, ọchị
😆	amụ, ihu, ihu amụ nwere mmepe ọnụ & anya mechiri emechi, mmepe, nwere afọ ojuju, ọchị, ọnụ
😅	amụ, ihu, ihu amụ nwere mmepe ọnụ & okpofufu oyi, mmepe, okpofufu, oyi
🤣	ihu, na-achị ọchị, na-atụgharị, na-atụgharị n’ala na-achị ọchị, n’ala
😂	anya mmiri, aṅụrị, ihu, ihu nwere anya mmiri nke aṅụrị
🙂	amụ, ihu, nwa obere ihu na-amụ amụ
🙃	ihu, ihu nsụgharị-isi n’ala, nsụgharị-isi n’ala
😉	Ihu na-atabi anya, ihu, ntabiri anya
😊	amụ, anya, ihu, ihu amụ nwere anya amụ, ọtanjele
😇	akụkọ èroro ero, akụkụ, amụ, dị ọcha, ihu, ihu amụ nwere okirikiri okụ, mụọ mma, okirikiri ọkụ
😍	amụ n’anya, anya, hụrụ, ihu, ihu amụ nwere anya-obi ọcha
🤩	anya, ihu, ihu ọchị, kpakpando, kpakpando-mere
😘	ihu, ihu dị mma nsusò ọnụ, nsusò ọnụ
😗	ihu, ihu nsusò ọnụ, nsusò ọnụ
☺️	amụ, edepụtara, ihu, ihu na-amụ amụ, zuru ike
😚	anya, ihu, ihu nsusò ọnụ emechiri anya, mechiri, nsusò ọnụ
😙	Ihu Na-Eme Nsusu Nwere Anya Amụ, amụ, anya, ihu, nsusò ọnụ
😋	amụ, dị ezigbo ụtọ, ihu, ihu nri dị ezigbo ụtọ, mara mma, um, yum
😛	ihu, ihu nwere mmipụta ire, mmipụta ire
😜	anya, ihu, ihu nwere mmipụta ire & ntaji anya, ire, njakịrị, ntaji
🤪	anya, ihu ara, nnukwu, obere
😝	anya, ihu, ihu nwere mmipụta ire & nwere mmechi anya, ire, mmetụta, ọjọọ
🤑	Ihu ọnụ-ego, ego, ihu, ọnụ
🤗	ihu, ihu mmakọ̀, mmakọ, na-amakọ
🤭	ihu mwute, ihu n’iji aka mechie ọnụ
🤫	ihu mechie onụ, mmechiọnụ, nwayọ
🤔	ihu, ihu na-eche echiche, na-eche echiche
🤐	ihu, ihu mgbachi ọnụ, mgbachi, ọnụ
